Rank;ESRB_Rating;Critic_Score;User_Score;url
1;E;7.7;0;http://www.vgchartz.com/game/2667/wii-sports/?region=All
2;NA;10;0;http://www.vgchartz.com/game/6455/super-mario-bros/?region=All
3;E;8.2;9.1;http://www.vgchartz.com/game/6968/mario-kart-wii/?region=All
4;E;8;8.8;http://www.vgchartz.com/game/24656/wii-sports-resort/?region=All
5;NA;NC;NS;No_URL
6;E;0;0;http://www.vgchartz.com/game/4534/tetris/?region=All
7;E;9.1;8.1;http://www.vgchartz.com/game/1582/new-super-mario-bros/?region=All
8;E;5.9;4.5;http://www.vgchartz.com/game/2666/wii-play/?region=All
9;E;8.6;9.2;http://www.vgchartz.com/game/35076/new-super-mario-bros-wii/?region=All
10;NA;0;0;http://www.vgchartz.com/game/6246/duck-hunt/?region=All
11;E;8.4;0;http://www.vgchartz.com/game/1657/nintendogs/?region=All
12;E;9.1;9.4;http://www.vgchartz.com/game/1254/mario-kart-ds/?region=All
13;NA;0;0;http://www.vgchartz.com/game/205360/pokemon-goldpokemon-silver/?region=All
14;E;7.9;0;http://www.vgchartz.com/game/7480/wii-fit/?region=All
15;E;8;0;http://www.vgchartz.com/game/35077/wii-fit-plus/?region=All
16;E;6.7;0;http://www.vgchartz.com/game/45608/kinect-adventures/?region=All
17;M;9.4;0;http://www.vgchartz.com/game/65884/grand-theft-auto-v/?region=All
18;M;9.5;0;http://www.vgchartz.com/game/3427/grand-theft-auto-san-andreas/?region=All
19;E;8.5;0;http://www.vgchartz.com/game/4441/super-mario-world/?region=All
20;E;8.1;0;http://www.vgchartz.com/game/2948/brain-age-train-your-brain-in-minutes-a-day/?region=All
21;NA;NC;NS;No_URL
22;E;0;0;http://www.vgchartz.com/game/4436/super-mario-land/?region=All
23;E;0;0;http://www.vgchartz.com/game/6458/super-mario-bros-3/?region=All
24;M;9.4;0;http://www.vgchartz.com/game/65884/grand-theft-auto-v/?region=All
25;M;9.6;0;http://www.vgchartz.com/game/896/grand-theft-auto-vice-city/?region=All
26;NA;NC;NS;No_URL
27;NA;NC;NS;No_URL
28;E;8;0;http://www.vgchartz.com/game/3841/brain-age-2-more-training-in-minutes-a-day/?region=All
29;E;9.3;0;http://www.vgchartz.com/game/886/gran-turismo-3-a-spec/?region=All
30;M;8.7;0;http://www.vgchartz.com/game/44606/call-of-duty-modern-warfare-3/?region=All
31;NA;NC;NS;No_URL
32;M;8.8;0;http://www.vgchartz.com/game/44952/call-of-duty-black-ops/?region=All
33;NA;NC;NS;No_URL
34;M;0;0;http://www.vgchartz.com/game/85359/call-of-duty-black-ops-3/?region=All
35;M;0;0;http://www.vgchartz.com/game/70716/call-of-duty-black-ops-ii/?region=All
36;M;0;0;http://www.vgchartz.com/game/70716/call-of-duty-black-ops-ii/?region=All
37;M;9.5;9;http://www.vgchartz.com/game/28848/call-of-duty-modern-warfare-2/?region=All
38;M;8.7;0;http://www.vgchartz.com/game/44606/call-of-duty-modern-warfare-3/?region=All
39;M;9.5;0;http://www.vgchartz.com/game/891/grand-theft-auto-iii/?region=All
40;T;9.2;9.7;http://www.vgchartz.com/game/6962/super-smash-bros-brawl/?region=All
41;M;8.8;0;http://www.vgchartz.com/game/44952/call-of-duty-black-ops/?region=All
42;E;8.5;0;http://www.vgchartz.com/game/82/animal-crossing-wild-world/?region=All
43;E;8.2;0;http://www.vgchartz.com/game/45691/mario-kart-7/?region=All
44;M;9.6;9.5;http://www.vgchartz.com/game/6964/halo-3/?region=All
